3.10417	-1.77222	0.2375	0.577778	-1.33333	0.422222	-0.543056	0.55	-0.131944	
-2.66111	9.71111	-3.35556	-1.77778	-4.44089e-16	-2.44444	0.772222	-1.26667	1.02222	
0.2375	-3.35556	4.28472	0.422222	-2.44444	0.688889	-0.131944	1.02222	-0.723611	
0.577778	-1.33333	0.422222	11.4	-7.55556	1.26667	0.577778	-1.33333	0.422222	
-1.77778	-4.44089e-16	-2.44444	-11.1111	33.7778	-14.2222	-1.77778	-4.44089e-16	-2.44444	
0.422222	-2.44444	0.688889	1.26667	-14.2222	15.6222	0.422222	-2.44444	0.688889	
-0.543056	0.55	-0.131944	0.577778	-1.33333	0.422222	3.10417	-1.77222	0.2375	
0.772222	-1.26667	1.02222	-1.77778	-4.44089e-16	-2.44444	-2.66111	9.71111	-3.35556	
-0.131944	1.02222	-0.723611	0.422222	-2.44444	0.688889	0.2375	-3.35556	4.28472	
-----------------------------------------------------------------------------------------------------------
